code,name,quantity,brands,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Nutriscore,Nutriscore_point
1.3305116E7,crosti pétales choc',425.0,j.Favrichon,115.0,0.6,7.8,2.4,3.0,0.11,0.0,a,-1.0
1.3474393E7,Biscottes d'épeautre à la châtaigne,150,moulin des moines,354.0,0.15,4.45,3.03,14.41,1.11,0.0,b,0.0
1.7407496E7,KLASIK,570,U,582.0,6.4,44.0,3.8,6.7,0.09,13.0,d,18.0
1.7461221E7,la mini tartelette,225,p'déli,500.0,12.0,34.0,2.0,7.0,1.5,0.0,e,27.0
1.7894722E7,pains au chocolat,360,U,183.0,5.9,5.9,1.2,3.0,0.41,0.0,e,19.0
1.9365664E7,Petit pot de crème chocolats,200,bio Village,184.0,6.2,15.0,0.0,5.6,0.12,0.0,d,11.0
1.9721945E7,Granola chocolat coco et éclats de frambroise,375,celnat,429.0,6.2,12.6,7.2,13.3,0.15,8.0,c,8.0
2.000000044992E12,Les P’tits Dodus chocolat noir,250,Sémilia,444.0,9.4,27.9,3.5,5.6,0.01,0.0,d,17.0
2.000000044993E12,Les P'tits Dodus Chocolat au Lait,250,Sémilia,469.0,12.2,26.1,1.2,6.5,0.01,0.0,e,19.0
2.000000077592E12,RXBAR CHOCOLATE SEA SALT,52,RXBAR,210.0,2.0,13.0,5.0,12.0,0.6604,12.5,d,13.0
2.000000077804E12,BANANITO CHOCOLATE ALMOND,25,Mightee bee,86.0,1.2,12.8,1.9,0.7,0.0,80.0,d,13.0
2.000000144343E12,Muesli croustillant Chocolat Framboise,375,Markal,430.0,3.8,20.0,8.0,9.6,0.02,2.0,c,7.0
2.0001216E7,Pétales de blé goût chocolat,750,Crownfield,380.0,1.0,28.8,5.0,8.8,0.6858,0.0,c,8.0
2.0008574E7,Micellar Soap Bar,500,Crownfield,248.0,1.4,3.9,6.7,0.48,2.5,0.0,c,9.0
2.0010373E7,Boules céréales au chocolat,750,Crownfield,388.0,1.2,29.4,6.9,7.0,0.6604,0.5,c,8.0
2.008396E7,choco moons,500,crownfield,378.0,1.1,24.5,7.3,10.0,0.48,0.0,c,7.0
2.01E7,choco moons,500.0,crownfield,378.0,1.1,24.5,7.3,10.0,0.48,0.0,c,7.0
2.0206093E7,Riz Soufflé Chocolat Noir Bio,100,"Bio Sonne,Norma",480.0,13.5,21.5,6.0,6.9,0.02,0.0,d,14.0
2.0258800656E11,Moelleux au Chocolat,200,U,437.0,14.0,33.0,2.5,6.3,0.09,0.0,e,20.0
2.0E12,Muesli croustillant Chocolat Framboise,375.0,Markal,430.0,3.8,20.0,8.0,9.6,0.02,2.0,c,7.0
2.0E7,Micellar Soap Bar,500.0,Crownfield,248.0,1.4,3.9,6.7,0.48,2.5,0.0,c,9.0
2.1908509365E10,Chocola,200,Larabar,422.0,4.44,44.44,8.9,8.89,167.5,0.0,d,13.0
2.4062299E7,Dark chocolate,150,GutBio,490.0,15.0,24.0,0.0,6.6,0.01,0.0,e,21.0
