,code,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Original_Nutriscore,Predicted_Nutriscore_ML
0,13305116.0,115.0,0.6,7.8,2.4,3.0,0.11,0.0,a,a
1,13474393.0,354.0,0.15,4.45,3.03,14.41,1.11,0.0,b,b
2,17407496.0,582.0,6.4,44.0,3.8,6.7,0.09,13.0,d,d
3,17461221.0,500.0,12.0,34.0,2.0,7.0,1.5,0.0,e,e
4,17894722.0,183.0,5.9,5.9,1.2,3.0,0.41,0.0,e,b
5,19365664.0,184.0,6.2,15.0,0.0,5.6,0.12,0.0,d,c
6,19721945.0,429.0,6.2,12.6,7.2,13.3,0.15,8.0,c,c
7,2000000044992.0,444.0,9.4,27.9,3.5,5.6,0.01,0.0,d,d
8,2000000044993.0,469.0,12.2,26.1,1.2,6.5,0.01,0.0,e,e
9,2000000077592.0,210.0,2.0,13.0,5.0,12.0,0.6604,12.5,d,b
10,2000000077804.0,86.0,1.2,12.8,1.9,0.7,0.0,80.0,d,b
11,2000000144343.0,430.0,3.8,20.0,8.0,9.6,0.02,2.0,c,c
12,20001216.0,380.0,1.0,28.8,5.0,8.8,0.6858,0.0,c,c
13,20008574.0,248.0,1.4,3.9,6.7,0.48,2.5,0.0,c,b
14,20010373.0,388.0,1.2,29.4,6.9,7.0,0.6604,0.5,c,c
15,20083960.0,378.0,1.1,24.5,7.3,10.0,0.48,0.0,c,c
16,20100000.0,378.0,1.1,24.5,7.3,10.0,0.48,0.0,c,c
17,20206093.0,480.0,13.5,21.5,6.0,6.9,0.02,0.0,d,d
18,202588006560.0,437.0,14.0,33.0,2.5,6.3,0.09,0.0,e,e
19,2000000000000.0,430.0,3.8,20.0,8.0,9.6,0.02,2.0,c,c
20,20000000.0,248.0,1.4,3.9,6.7,0.48,2.5,0.0,c,b
21,21908509365.0,422.0,4.44,44.44,8.9,8.89,167.5,0.0,d,d
22,24062299.0,490.0,15.0,24.0,0.0,6.6,0.01,0.0,e,e
23,26049748.0,152.0,3.2,20.0,0.0,4.2,0.1,0.0,c,c
24,26077345.0,374.0,4.3,20.0,0.0,8.9,0.05,0.0,d,c
25,2700920001160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b,a
26,27038284.0,436.0,4.0,17.0,8.5,8.3,0.0,0.0,c,c
27,2730384003486.0,660.0,10.1,15.6,9.0,12.0,0.03,80.0,d,d
28,27000000.0,436.0,4.0,17.0,8.5,8.3,0.0,0.0,c,c
29,28000033279.0,571.4285714,21.42857143,42.85714286,7.142857143,7.142857143,0.0,0.0,e,e
30,28000394257.0,571.0,21.43,42.86,7.1,7.14,0.0,0.0,e,e
31,2194110.0,475.0,7.0,18.0,8.0,8.0,0.0,0.0,c,c
32,3023290014080.0,148.0,5.4,14.6,0.0,2.6,0.1,0.0,c,c
33,3020000000000.0,148.0,5.4,14.6,0.0,2.6,0.1,0.0,c,c
34,3050003109009.0,413.0,5.8,11.0,6.3,9.0,0.06,0.0,c,c
